2018-05-26 18:52:31.836 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 18:53:01.743 INFO  CommandMessageHandler Hello from CommandMessageHandler
2018-05-26 18:53:11.790 INFO  CommandMessageHandler Returning Fail
2018-05-26 18:54:59.532 INFO  DefaultFactory Logging to 'C:\Users\anton\Desktop\asp-mvc-application_core_6\Server\bin\Debug\net461\' with level Info
2018-05-26 18:55:00.766 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '5/26/2018'

2018-05-26 18:55:01.242 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-78RVP3N\anton' to group 'Performance Monitor Users' because the user is already in group.
2018-05-26 18:55:01.549 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 18:55:01.598 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 18:55:01.629 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 18:55:26.122 INFO  CommandMessageHandler Hello from CommandMessageHandler
2018-05-26 18:55:36.178 INFO  CommandMessageHandler Returning Fail
2018-05-26 18:55:36.656 INFO  CommandMessageHandler Hello from CommandMessageHandler
2018-05-26 18:55:46.699 INFO  CommandMessageHandler Returning None
2018-05-26 20:04:32.542 INFO  DefaultFactory Logging to 'C:\Users\anton\Desktop\RelationalPart\Server\bin\Debug\net461\' with level Info
2018-05-26 20:04:39.403 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '5/26/2018'

2018-05-26 20:04:39.980 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-78RVP3N\anton' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-78RVP3N\anton" /add
2018-05-26 20:04:41.810 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 20:04:41.873 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
